task,paper_dataset,dataset_file,data_link_status,resolved_path,file_size_bytes,sha256,rows,feature_count,normal_count,anomaly_count,metadata_discoverable,integrity_status
ASD_dataset_11,ASD,ASD_dataset_11.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/ASD_dataset_11.csv,7946213,6c2f15d7c5dc9b91d5f653d987bdc19368b36ff4ebf2251bf9b4a70564fa8486,12710,26,12701,9,True,ok
ASD_dataset_12,ASD,ASD_dataset_12.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/ASD_dataset_12.csv,6781250,e70cd84f91ee0c5cf66deab1eb934213b4697aeda511d788cb35d7d53d474bdf,11479,24,11474,5,True,ok
CICIDS,CICIDS,CICIDS.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/CICIDS.csv,350235365,63a49c887f64aa02df01ae8cd3c0d4488a62f7ff8c0f762801c554a8c4f0c137,170231,72,168051,2180,True,ok
CalIt2,CalIt2,CalIt2.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/CalIt2.csv,316851,2a60825e112d4e80eeaa6aba1e554420db7cd04755e9bb3b7dccd618cd64ff8a,5040,2,4834,206,True,ok
Creditcard,Creditcard,Creditcard.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/Creditcard.csv,191028129,fd94e2d9b12c47ee32127dcbb524c3de582d87c725c8a2a110eeb4406cafa2cd,284807,29,284315,492,True,ok
GECCO,GECCO,GECCO.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/GECCO.csv,22483418,9921f43173d50c637115098bf61e2d3fc20d5b0bd87d2fee7550d139da05cbf4,138521,9,136795,1726,True,ok
Genesis,Genesis,Genesis.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/Genesis.csv,10842974,fcc840cd2f8d8a64792c1f8ae95422f6c6bb2d0c7420487c1f8352a643bde672,16220,18,16170,50,True,ok
MSL,MSL,MSL.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/MSL.csv,126933151,893738efa9b7e6fbf64cb6d53e604cb44e9c373c613c4733eff7b32583533f21,132046,55,124280,7766,True,ok
NYC,NYC,NYC.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/NYC.csv,1391243,64049d2d09967e90c47f8169bb54efb82c0199e9ff3b8b8ac952990aff266b9f,17520,3,17421,99,True,ok
PSM,PSM,PSM.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/PSM.csv,199747390,38e446209e82df94b82c11aa43d87e3671da86167ed794c1b7be5eb91fc0e8ac,220322,25,195941,24381,True,ok
SMAP,SMAP,SMAP.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/SMAP.csv,259995601,b0b4b5ab7c731d9ea0222b741f7cf14934638956534b0f91772dd25b841d2ac0,562800,25,508104,54696,True,ok
SMD,SMD,SMD.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/SMD.csv,1333455844,b20a401b0d7eaec009f9ea9bd4610df65fedf0b0efc8e87fe07f1cf1fb9ba753,1416825,38,1387381,29444,True,ok
SWAT,SWAT,SWAT.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/SWAT.csv,976006181,a8bad2c5f770dbd04e7ad44f58f565caf1c4fe1a68ab62d2d8625adb4d4cdceb,944919,51,890298,54621,True,ok
